,rsi_inv_lag1,volatility_shift_ma3,bb_position_inv_ma3,rsi_vol_interaction,vol_regime,fib05_prox_atr,fib_prox_score,fib05_x_ema_slope,fib_prox_x_adx,fib05_x_rsi_inv
rsi_inv_lag1,1.0,-0.07007330112146445,-0.8609655709973315,0.9113899594738581,-0.062063592681740415,0.005414409697675497,0.020184544353438975,0.13958261694678886,0.022619349781245218,-0.14171846289662005
volatility_shift_ma3,-0.07007330112146445,1.0,0.061944074908681694,-0.06177305825407691,0.7743961198130231,0.06581872685887975,0.059422289205078936,-0.014633942863614606,0.07207932289925663,0.02950584912068041
bb_position_inv_ma3,-0.8609655709973315,0.061944074908681694,1.0,-0.821172376059009,0.05123026523162852,0.007887906698724929,0.0005503415771229962,-0.12302743183694982,0.0020947341168595663,0.1280338437659307
rsi_vol_interaction,0.9113899594738581,-0.06177305825407691,-0.821172376059009,1.0,-0.04732247662843179,-0.0004882712826957506,0.014752217623338337,0.14578668642152853,0.016858162290073118,-0.1615057698600469
vol_regime,-0.062063592681740415,0.7743961198130231,0.05123026523162852,-0.04732247662843179,1.0,0.05088082471187401,0.047226287818702806,-0.014007904487094516,0.052390247176917766,0.026245477731700356
fib05_prox_atr,0.005414409697675497,0.06581872685887975,0.007887906698724929,-0.0004882712826957506,0.05088082471187401,1.0,0.860112169064439,0.08755735782107706,0.7674118145902041,-0.0213246402615837
fib_prox_score,0.020184544353438975,0.059422289205078936,0.0005503415771229962,0.014752217623338337,0.047226287818702806,0.860112169064439,1.0,0.1207697452698538,0.9105927997919908,-0.07975259278377046
fib05_x_ema_slope,0.13958261694678886,-0.014633942863614606,-0.12302743183694982,0.14578668642152853,-0.014007904487094516,0.08755735782107706,0.1207697452698538,1.0,0.1135679116500151,-0.8949912225348035
fib_prox_x_adx,0.022619349781245218,0.07207932289925663,0.0020947341168595663,0.016858162290073118,0.052390247176917766,0.7674118145902041,0.9105927997919908,0.1135679116500151,1.0,-0.05731570968494287
fib05_x_rsi_inv,-0.14171846289662005,0.02950584912068041,0.1280338437659307,-0.1615057698600469,0.026245477731700356,-0.0213246402615837,-0.07975259278377046,-0.8949912225348035,-0.05731570968494287,1.0
